流水序,Unicode,常用字
00332,5207,切
00333,5208,刈
00334,520a,刊
00335,5217,列
00336,5211,刑
00337,5212,划
00338,520e,刎
00339,5225,別
00340,5224,判
00341,5229,利
00342,522a,刪
00343,5228,刨
00344,523b,刻
00345,5238,券
00346,5237,刷
00347,523a,刺
00348,5230,到
00349,522e,刮
00350,5236,制
00351,5241,剁
00352,524e,剎
00353,5243,剃
00354,524a,削
00355,524d,前
00356,524c,剌
00357,524b,剋
00358,5247,則
00359,5256,剖
00360,525c,剜
00361,5254,剔
00362,525b,剛
00363,525d,剝
00364,526a,剪
00365,526f,副
00366,5272,割
00367,5274,剴
00368,5275,創
00369,5269,剩
00370,527f,剿
00371,5277,剷
00372,527d,剽
00373,5283,劃
00374,5287,劇
00375,5288,劈
00376,5289,劉
00377,528d,劍
00378,5291,劑
00379,529b,力
00380,52a0,加
00381,529f,功
00382,52a3,劣
00383,52ab,劫
00384,52a9,助
00385,52aa,努
00386,52ac,劬
00387,52be,劾
00388,52c7,勇
00389,52c9,勉
00390,52c3,勃
00391,52c1,勁
00392,52d2,勒
00393,52d9,務
00394,52d8,勘
00395,52d5,動
00396,52de,勞
00397,52dd,勝
00398,52db,勛
00399,52df,募
00400,52e6,勦
00401,52e4,勤
00402,52e2,勢
00403,52f5,勵
00404,52f8,勸
00405,52fb,勻
00406,52fe,勾
00407,52ff,勿
00408,5305,包
00409,5306,匆
00410,5308,匈
00411,530d,匍
00412,5310,匐
00413,530f,匏
00414,5315,匕
00415,5316,化
00416,5317,北
00417,5319,匙
00418,531d,匝
00419,5321,匡
00420,5320,匠
00421,5323,匣
00422,532a,匪
00423,532f,匯
00424,5331,匱
00425,5339,匹
00426,533f,匿
00427,5340,區
00428,533e,匾
00429,5341,十
00430,5343,千
00431,5348,午
00432,5347,升
00433,5345,卅
00434,4edf,仟
00435,534a,半
00436,5349,卉
00437,5352,卒
00438,5354,協
00439,5353,卓
00440,5351,卑
00441,5357,南
00442,535a,博
00443,535c,卜
00444,535e,卞
00445,5361,卡
00446,5360,占
00447,5366,卦
00448,536f,卯
00449,536e,卮
00450,5370,印
00451,5371,危
00452,5373,即
00453,5375,卵
00454,5377,卷
00455,5378,卸
00456,5379,卹
00457,537b,卻
00458,537f,卿
00459,5384,厄
00460,539a,厚
00461,539f,原
00462,539d,厝
00463,53a5,厥
00464,53ad,厭
00465,53b2,厲
00466,53bb,去
00467,53c3,參
00468,53c8,又
00469,53c9,叉
00470,53cb,友
00471,53ca,及
00472,53cd,反
00473,53d6,取
00474,53d4,叔
00475,53d7,受
00476,53db,叛
00477,53df,叟
00478,66fc,曼
00479,53e2,叢
00480,53e3,口
00481,53ef,可
00482,53e4,古
00483,53f3,右
00484,53ec,召
00485,53ee,叮
00486,53e9,叩
00487,53e8,叨
00488,53fc,叼
00489,53f8,司
00490,53f5,叵
00491,53eb,叫
00492,53e6,另
00493,53ea,只
00494,53f2,史
00495,53f1,叱
00496,53f0,台
00497,53e5,句
00498,53ed,叭
00499,5409,吉
00500,540f,吏
00501,540c,同
00502,540a,吊
00503,5410,吐
00504,5401,吁
00505,540b,吋
00506,5404,各
00507,5411,向
00508,540d,名
00509,5408,合
00510,5403,吃
00511,540e,后
00512,5406,吆
00513,5412,吒
00514,541d,吝
00515,542d,吭
00516,541e,吞
00517,543e,吾
00518,5426,否
00519,544e,呎
00520,5427,吧
00521,5446,呆
00522,5443,呃
00523,5433,吳
00524,5448,呈
00525,5442,呂
00526,541b,君
00527,5429,吩
00528,544a,告
00529,5439,吹
00530,543b,吻
